ticker,date_bulletin,volume_echange,valeur_echangee
SIBC,2018-08-31,1638.0,4754175.0
SDSC,2018-08-31,5.0,15375.0
PALC,2018-08-31,466.0,1509945.0
SCRC,2018-08-31,6311.0,6213160.0
SICC,2018-08-31,50.0,180000.0
SOGC,2018-08-31,303.0,962205.0
SPHC,2018-08-31,1620.0,4941000.0
ABJC,2018-08-31,1266.0,1522700.0
BNBC,2018-08-31,63.0,151850.0
CFAC,2018-08-31,216.0,132760.0
SHEC,2018-08-31,1650.0,1550350.0
TTLC,2018-08-31,6068.0,10966475.0
TTLS,2018-08-31,645.0,967500.0
CABC,2018-09-28,11.0,13200.0
FTSC,2018-09-28,91.0,191520.0
NEIC,2018-09-28,180.0,28800.0
NTLC,2018-09-28,5.0,7000.0
SIVC,2018-09-28,20.0,9400.0
SLBC,2018-09-28,2.0,118010.0
SMBC,2018-09-28,426.0,8227320.0
UNXC,2018-09-28,183.0,542405.0
CIEC,2018-09-28,260.0,403150.0
ONTBF,2018-09-28,165.0,624850.0
SDCC,2018-09-28,184.0,662630.0
SNTS,2018-09-28,2985.0,59826225.0
BICC,2018-09-28,245.0,986520.0
BOAB,2018-09-28,821.0,3331010.0
BOABF,2018-09-28,3000.0,11895575.0
BOAC,2018-09-28,1220.0,4132445.0
BOAM,2018-09-28,370.0,741795.0
BOAN,2018-09-28,2428.0,9229600.0
BOAS,2018-09-28,1022.0,2452800.0
ECOC,2018-09-28,134.0,3092125.0
ETIT,2018-09-28,2000.0,44000.0
NSBC,2018-09-28,528.0,3853000.0
SGBC,2018-09-28,173.0,1729135.0
SIBC,2018-09-28,2288.0,5739215.0
SDSC,2018-09-28,79.0,244505.0
PALC,2018-09-28,50.0,157250.0
SCRC,2018-09-28,270.0,269400.0
SICC,2018-09-28,10.0,35300.0
SOGC,2018-09-28,6161.0,18423420.0
SPHC,2018-09-28,1.0,2870.0
ABJC,2018-09-28,45.0,51750.0
BNBC,2018-09-28,2.0,4590.0
CFAC,2018-09-28,3326.0,1994600.0
SHEC,2018-09-28,2192.0,1971650.0
TTLC,2018-09-28,47.0,79430.0
TTLS,2018-09-28,1304.0,1695200.0
CABC,2018-10-31,360.0,360000.0
FTSC,2018-10-31,257.0,487015.0
SIVC,2018-10-31,4.0,1800.0
SMBC,2018-10-31,23.0,418600.0
STBC,2018-10-31,4642.0,6243505.0
UNLC,2018-10-31,5.0,40800.0
UNXC,2018-10-31,77.0,188130.0
CIEC,2018-10-31,2015.0,2619750.0
ONTBF,2018-10-31,9238.0,34167440.0
SDCC,2018-10-31,30.0,96000.0
SNTS,2018-10-31,3487.0,66004675.0
BICC,2018-10-31,450.0,1881000.0
BOAB,2018-10-31,2256.0,8659240.0
BOABF,2018-10-31,1201.0,4516530.0
BOAC,2018-10-31,1755.0,4330630.0
BOAM,2018-10-31,104.0,241765.0
BOAN,2018-10-31,1961.0,7612220.0
BOAS,2018-10-31,2799.0,5494210.0
ECOC,2018-10-31,152.0,2964290.0
ETIT,2018-10-31,2850.0,54150.0
NSBC,2018-10-31,11250.0,78611705.0
SGBC,2018-10-31,47.0,415130.0
SIBC,2018-10-31,663.0,1556545.0
PALC,2018-10-31,102.0,232560.0
SCRC,2018-10-31,2200.0,2145550.0
SOGC,2018-10-31,132.0,275200.0
ABJC,2018-10-31,100.0,105000.0
CFAC,2018-10-31,3233.0,1959810.0
SHEC,2018-10-31,2684.0,2657160.0
TTLC,2018-10-31,3657.0,5185860.0
TTLS,2018-10-31,2099.0,2678350.0
STAC,2018-10-31,80.0,18800.0
CABC,2018-11-30,1055.0,1049725.0
FTSC,2018-11-30,40.0,59000.0
NEIC,2018-11-30,1569.0,423630.0
SIVC,2018-11-30,4.0,1800.0
UNXC,2018-11-30,475.0,959075.0
CIEC,2018-11-30,287.0,434130.0
ONTBF,2018-11-30,1742.0,6643090.0
SNTS,2018-11-30,1165.0,20769715.0
BICC,2018-11-30,1478.0,10841700.0
BOAB,2018-11-30,1268.0,3782360.0
BOABF,2018-11-30,527.0,1480550.0
BOAC,2018-11-30,813.0,1851285.0
BOAM,2018-11-30,556.0,1160445.0
BOAN,2018-11-30,300.0,877140.0
BOAS,2018-11-30,445.0,841050.0
CBIBF,2018-11-30,1162.0,8261820.0
ECOC,2018-11-30,15.0,269250.0
ETIT,2018-11-30,31500.0,548000.0
SGBC,2018-11-30,9859.0,68652995.0
SIBC,2018-11-30,312.0,722160.0
SDSC,2018-11-30,451.0,867110.0
SCRC,2018-11-30,408.0,367200.0
SOGC,2018-11-30,15.0,31500.0
ABJC,2018-11-30,614.0,553000.0
CFAC,2018-11-30,3443.0,1532135.0
SHEC,2018-11-30,2.0,2000.0
TTLC,2018-11-30,30.0,37500.0
TTLS,2018-11-30,345.0,444000.0
STAC,2018-11-30,12.0,2340.0
CABC,2018-12-31,5029.0,4365630.0
FTSC,2018-12-31,659.0,1364320.0
NEIC,2018-12-31,4350.0,739600.0
NTLC,2018-12-31,120.0,121200.0
SEMC,2018-12-31,5.0,1500.0
SIVC,2018-12-31,2210.0,1102760.0
SMBC,2018-12-31,20.0,390000.0
STBC,2018-12-31,450.0,772000.0
UNXC,2018-12-31,25.0,50750.0
CIEC,2018-12-31,330.0,476975.0
ONTBF,2018-12-31,3495.0,14508000.0
SDCC,2018-12-31,1.0,3885.0
SNTS,2018-12-31,34964.0,580422245.0
BOAB,2018-12-31,22638.0,91049300.0
BOABF,2018-12-31,1400.0,7280000.0
BOAC,2018-12-31,167322.0,701150815.0
BOAM,2018-12-31,1084.0,2704700.0
BOAN,2018-12-31,525.0,2047500.0
BOAS,2018-12-31,2996.0,6048920.0
CBIBF,2018-12-31,1478.0,12851210.0
ECOC,2018-12-31,12512.0,52680410.0
ETIT,2018-12-31,2110.0,37980.0
SGBC,2018-12-31,1144.0,8675950.0
SIBC,2018-12-31,2302.0,6151540.0
SDSC,2018-12-31,9907.0,19034515.0
PALC,2018-12-31,130.0,247000.0
SCRC,2018-12-31,1500.0,1402500.0
ABJC,2018-12-31,380.0,458800.0
BNBC,2018-12-31,300.0,720000.0
CFAC,2018-12-31,1519.0,971495.0
SHEC,2018-12-31,30.0,28250.0
TTLC,2018-12-31,4297.0,5833710.0
TTLS,2018-12-31,321.0,477850.0
CABC,2019-01-31,10.0,10000.0
FTSC,2019-01-31,64.0,115200.0
NEIC,2019-01-31,2315.0,451425.0
NTLC,2019-01-31,337.0,296560.0
SIVC,2019-01-31,1001.0,502325.0
UNXC,2019-01-31,2105.0,3982400.0
CIEC,2019-01-31,129.0,160450.0
ONTBF,2019-01-31,3330.0,14181390.0
SDCC,2019-01-31,132.0,422770.0
SNTS,2019-01-31,49763.0,830843935.0
BICC,2019-01-31,79.0,497700.0
BOAB,2019-01-31,824.0,2870915.0
BOABF,2019-01-31,130.0,563850.0
BOAC,2019-01-31,160.0,636000.0
BOAM,2019-01-31,377.0,864660.0
BOAN,2019-01-31,806.0,3068580.0
BOAS,2019-01-31,1299.0,2251825.0
CBIBF,2019-01-31,258.0,1870455.0
ECOC,2019-01-31,246.0,948900.0
ETIT,2019-01-31,30783.0,584877.0
NSBC,2019-01-31,251.0,1207770.0
SGBC,2019-01-31,2082.0,16614550.0
SIBC,2019-01-31,1246.0,2834015.0
SDSC,2019-01-31,2368.0,4418320.0
PALC,2019-01-31,44.0,76860.0
SCRC,2019-01-31,3309.0,3192980.0
SICC,2019-01-31,10.0,36000.0
SOGC,2019-01-31,20.0,39900.0
